player_name,season,pos,age,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws_per_48,obpm,dbpm,bpm,vorp,mp,pk
A.C. Green,1995,SF,31,14.2,0.596,0.206,0.556,8.3,20.4,6.5,1,0.8,12.9,14.2,4.6,2.1,0.12,0.8,-0.9,-0.1,1.3,3055,23
Aaron McKie,1995,SG,22,13.3,0.5,0.107,0.28,4.6,13.5,15.9,2.2,1.4,11.7,17,0.8,1.2,0.115,-1.4,1.7,0.3,0.5,861,17
Aaron Swinson,1995,SF,24,11.7,0.594,0,0.278,6.7,11.3,9,1,0,19.8,21.4,0,0,0.039,-4.3,-2.5,-6.8,-0.1,51,61
Aaron Williams,1995,PF,23,7,0.41,0.042,0.5,8.1,24.1,0,1.4,6.2,19.3,22.3,-0.2,0.1,-0.067,-8.7,-0.3,-9,-0.1,72,61
Acie Earl,1995,C,24,6.6,0.409,0,0.426,10.4,14.6,1.4,1.5,2.6,14.8,19.7,-0.4,0.2,-0.038,-6.9,-2,-8.9,-0.4,218,19
Adam Keefe,1995,SF,24,15.1,0.616,0,0.581,14,18,3.5,1.5,1.6,14.2,15.6,2.4,1.7,0.154,0.2,-0.6,-0.4,0.5,1339,10
Adrian Caldwell,1995,PF,28,4.4,0.377,0,1.5,4,32.8,0,1.7,0,13.1,11.4,0,0.1,0.02,-7.8,0.7,-7.2,0,30,61
Alaa Abdelnaby,1995,PF,26,12.56146245,0.5161897233,0.008733201581,0.1507865613,8.691897233,17.41818182,4.992885375,1.50256917,1.793675889,15.44802372,25.59367589,-0.2559288538,0.6792490119,0.02696640316,-4.415019763,0.06877470356,-4.346245059,-0.2029644269,506,25
Allan Houston,1995,SG,23,16.4,0.589,0.434,0.199,1.7,8.1,14.3,1.6,0.5,10.8,23.5,3.5,0.3,0.091,2.5,-1.8,0.7,1.4,1996,11
Alonzo Mourning,1995,C,24,20.1,0.593,0.031,0.585,8.4,21.6,6.6,0.9,5.5,14.8,25.6,4.3,5.1,0.153,0.2,0.9,1.1,2.3,3115,2
Alphonso Ford,1995,SG,23,0.4,0.238,0.231,0.051,9.4,14.4,14.1,0.5,0,16.7,21.8,-0.5,0,-0.21,-8.1,-2.9,-11,-0.2,98,32
Alton Lister,1995,C,36,10.2,0.507,0.007,0.522,10.1,27,2.3,1.1,5.5,18.7,11.6,0,1,0.062,-4.8,1.1,-3.6,-0.3,776,21
Andres Guibert,1995,PF,26,8.3,0.406,0.085,0.404,11.9,21.1,9.8,2.5,0.4,17.8,18.4,-0.2,0.2,-0.02,-5.2,-1.6,-6.8,-0.2,167,61
Andrew Lang,1995,C,28,13.1,0.523,0.004,0.278,7.5,15.4,5,1,4.6,12.4,16.8,1.4,3.4,0.1,-2.9,1,-1.9,0,2441,28
Anfernee Hardaway,1995,PG,23,20.8,0.599,0.218,0.405,5.7,7.5,28.5,2.3,0.6,16.1,23.7,8.2,2.5,0.177,4.4,-0.3,4.1,4.5,3750,3
Anthony Avent,1995,PF,25,9.8,0.466,0,0.307,10.7,20.4,5,1.3,3.2,16.1,13.3,0.1,1.5,0.069,-4.1,0.1,-4,-0.5,1106,15
